"model","scenario","ensemble","month","decade","decadal.mean"
"ACCESS1-0","historical","r1i1p1",1,"1860",295.109276478486
"ACCESS1-0","historical","r1i1p1",1,"1870",295.36183874509
"ACCESS1-0","historical","r1i1p1",1,"1880",295.397093363638
"ACCESS1-0","historical","r1i1p1",1,"1890",295.283024609763
"ACCESS1-0","historical","r1i1p1",1,"1900",295.291268924195
"ACCESS1-0","historical","r1i1p1",1,"1910",295.487990013709
"ACCESS1-0","historical","r1i1p1",1,"1920",295.447471389676
"ACCESS1-0","historical","r1i1p1",1,"1930",295.583422788676
"ACCESS1-0","historical","r1i1p1",1,"1940",295.631969276943
"ACCESS1-0","historical","r1i1p1",1,"1950",295.522345653611
"ACCESS1-0","historical","r1i1p1",1,"1960",295.631229978802
"ACCESS1-0","historical","r1i1p1",1,"1970",295.169499573513
"ACCESS1-0","historical","r1i1p1",1,"1980",295.555975072039
"ACCESS1-0","historical","r1i1p1",1,"1990",295.687652803532
"ACCESS1-0","historical","r1i1p1",1,"2000",295.514429271912
"ACCESS1-0","historical","r1i1p1",1,"2010",295.775440865135
"ACCESS1-0","historical","r1i1p1",2,"1860",294.863569980879
"ACCESS1-0","historical","r1i1p1",2,"1870",294.915178606928
"ACCESS1-0","historical","r1i1p1",2,"1880",295.050502559724
"ACCESS1-0","historical","r1i1p1",2,"1890",294.500027994168
"ACCESS1-0","historical","r1i1p1",2,"1900",294.857117077892
"ACCESS1-0","historical","r1i1p1",2,"1910",295.022248502741
"ACCESS1-0","historical","r1i1p1",2,"1920",294.929850380595
"ACCESS1-0","historical","r1i1p1",2,"1930",295.020646050944
"ACCESS1-0","historical","r1i1p1",2,"1940",295.004603111302
"ACCESS1-0","historical","r1i1p1",2,"1950",295.163555440996
"ACCESS1-0","historical","r1i1p1",2,"1960",295.748484625308
"ACCESS1-0","historical","r1i1p1",2,"1970",295.275573375853
"ACCESS1-0","historical","r1i1p1",2,"1980",295.440679868571
"ACCESS1-0","historical","r1i1p1",2,"1990",295.669986023481
"ACCESS1-0","historical","r1i1p1",2,"2000",295.606323947078
"ACCESS1-0","historical","r1i1p1",2,"2010",296.047426096511
"ACCESS1-0","historical","r1i1p1",3,"1860",293.874789372046
"ACCESS1-0","historical","r1i1p1",3,"1870",294.049414921544
"ACCESS1-0","historical","r1i1p1",3,"1880",294.156793920446
"ACCESS1-0","historical","r1i1p1",3,"1890",293.725871175456
"ACCESS1-0","historical","r1i1p1",3,"1900",293.587695866465
"ACCESS1-0","historical","r1i1p1",3,"1910",293.968809302319
"ACCESS1-0","historical","r1i1p1",3,"1920",293.934069575244
