"model","scenario","ensemble","month","decade","decadal.mean"
"ACCESS1","historical","r1i1p1",1,"1960",0.139568241508244
"ACCESS1","historical","r1i1p1",1,"1970",0.123895312317339
"ACCESS1","historical","r1i1p1",1,"1980",0.117278549075174
"ACCESS1","historical","r1i1p1",1,"1990",0.137514258213521
"ACCESS1","historical","r1i1p1",1,"2000",0.134463232906527
"ACCESS1","historical","r1i1p1",1,"2010",0.139304241295239
"ACCESS1","historical","r1i1p1",2,"1960",0.148847940640602
"ACCESS1","historical","r1i1p1",2,"1970",0.139506508941579
"ACCESS1","historical","r1i1p1",2,"1980",0.135147373078869
"ACCESS1","historical","r1i1p1",2,"1990",0.154072696618227
"ACCESS1","historical","r1i1p1",2,"2000",0.137718005910937
"ACCESS1","historical","r1i1p1",2,"2010",0.138683342127296
"ACCESS1","historical","r1i1p1",3,"1960",0.161435817556312
"ACCESS1","historical","r1i1p1",3,"1970",0.169341897462218
"ACCESS1","historical","r1i1p1",3,"1980",0.163089100486592
"ACCESS1","historical","r1i1p1",3,"1990",0.165132957732265
"ACCESS1","historical","r1i1p1",3,"2000",0.155862975254996
"ACCESS1","historical","r1i1p1",3,"2010",0.156284883205486
"ACCESS1","historical","r1i1p1",4,"1960",0.133934138811553
"ACCESS1","historical","r1i1p1",4,"1970",0.131414820449497
"ACCESS1","historical","r1i1p1",4,"1980",0.125381082972448
"ACCESS1","historical","r1i1p1",4,"1990",0.146004536058529
"ACCESS1","historical","r1i1p1",4,"2000",0.143663932612795
"ACCESS1","historical","r1i1p1",4,"2010",0.132837418674785
"ACCESS1","historical","r1i1p1",5,"1960",0.132236526706754
"ACCESS1","historical","r1i1p1",5,"1970",0.123143968735993
"ACCESS1","historical","r1i1p1",5,"1980",0.135742178288804
"ACCESS1","historical","r1i1p1",5,"1990",0.133889237742342
"ACCESS1","historical","r1i1p1",5,"2000",0.138847540370911
"ACCESS1","historical","r1i1p1",5,"2010",0.137466354716102
"ACCESS1","historical","r1i1p1",6,"1960",0.132932973513723
"ACCESS1","historical","r1i1p1",6,"1970",0.133529217041998
"ACCESS1","historical","r1i1p1",6,"1980",0.127995395610285
"ACCESS1","historical","r1i1p1",6,"1990",0.135844273451694
"ACCESS1","historical","r1i1p1",6,"2000",0.127326473845693
"ACCESS1","historical","r1i1p1",6,"2010",0.149630703979749
"ACCESS1","historical","r1i1p1",7,"1960",0.112811495931807
"ACCESS1","historical","r1i1p1",7,"1970",0.115818141994674
"ACCESS1","historical","r1i1p1",7,"1980",0.109494887433703
"ACCESS1","historical","r1i1p1",7,"1990",0.111050079506283
"ACCESS1","historical","r1i1p1",7,"2000",0.108301472921605
"ACCESS1","historical","r1i1p1",7,"2010",0.099308891900062
"ACCESS1","historical","r1i1p1",8,"1960",0.079266968115941
"ACCESS1","historical","r1i1p1",8,"1970",0.0793353252656277
"ACCESS1","historical","r1i1p1",8,"1980",0.0861890982277373
"ACCESS1","historical","r1i1p1",8,"1990",0.0775050666818671
"ACCESS1","historical","r1i1p1",8,"2000",0.0720366116107196
"ACCESS1","historical","r1i1p1",8,"2010",0.0761753854151354
"ACCESS1","historical","r1i1p1",9,"1960",0.0867431152164929
"ACCESS1","historical","r1i1p1",9,"1970",0.0823456599864114
"ACCESS1","historical","r1i1p1",9,"1980",0.0686755818880139
"ACCESS1","historical","r1i1p1",9,"1990",0.0718553784237947
"ACCESS1","historical","r1i1p1",9,"2000",0.0689677861485002
"ACCESS1","historical","r1i1p1",9,"2010",0.0763504048561733
